Título;Downloads;URL
Macbeth;13338 downloads;https://www.gutenberg.org/ebooks/1533
Childe Harold's Pilgrimage;13245 downloads;https://www.gutenberg.org/ebooks/5131
The Kama Sutra of Vatsyayana;13194 downloads;https://www.gutenberg.org/ebooks/27827
Helps to Latin Translation at Sight;13171 downloads;https://www.gutenberg.org/ebooks/28890
The Marriage of Heaven and Hell;12919 downloads;https://www.gutenberg.org/ebooks/45315
A Complete Dictionary of Synonyms and Antonyms;12785 downloads;https://www.gutenberg.org/ebooks/51155
Hedda Gabler;12447 downloads;https://www.gutenberg.org/ebooks/4093
The Confessions of St. Augustine;12322 downloads;https://www.gutenberg.org/ebooks/3296
The Portrait of a Lady — Volume 1;12129 downloads;https://www.gutenberg.org/ebooks/2833
The Social Cancer: A Complete English Version of Noli Me Tangere;12115 downloads;https://www.gutenberg.org/ebooks/6737
Alice's Adventures in Wonderland;12109 downloads;https://www.gutenberg.org/ebooks/19033
The Murder on the Links;12097 downloads;https://www.gutenberg.org/ebooks/58866
Arms and the Man;12074 downloads;https://www.gutenberg.org/ebooks/3618
Les trois mousquetaires (French);12072 downloads;https://www.gutenberg.org/ebooks/13951
The Sun Also Rises;11830 downloads;https://www.gutenberg.org/ebooks/67138
The Gilded Age: A Tale of Today;11815 downloads;https://www.gutenberg.org/ebooks/3178
